station,train_name,final_destination_station,delay_in_min,time,is_canceled,train_type,train_line_ride_id,train_line_station_num,arrival_planned_time,arrival_change_time,departure_planned_time,departure_change_time
Stuttgart Hbf,ICE 698,Berlin Hbf,1,2024-07-01 00:12:00,False,ICE,7108274583246193747-2406302151,5,2024-07-01 00:01:00,2024-07-01 00:07:00,2024-07-01 00:11:00,2024-07-01 00:12:00
Stuttgart Hbf,ICE 617,München Hbf,23,2024-07-01 00:41:00,False,ICE,6194893901306646476-2406301729,17,2024-07-01 00:08:00,2024-07-01 00:36:00,2024-07-01 00:18:00,2024-07-01 00:41:00
Stuttgart Hbf,ICE 618,Kiel Hbf,3,2024-07-01 02:25:00,False,ICE,2686007473625185344-2407010001,6,2024-07-01 02:16:00,2024-07-01 02:20:00,2024-07-01 02:22:00,2024-07-01 02:25:00
Stuttgart Hbf,ICE 215,München Hbf,1,2024-07-01 02:11:00,False,ICE,-3639105195943060538-2407010017,3,2024-07-01 02:04:00,2024-07-01 02:04:00,2024-07-01 02:10:00,2024-07-01 02:11:00
Stuttgart Hbf,ICE 619,München Hbf,1,2024-07-01 03:40:00,False,ICE,7474414276230536927-2406301838,20,2024-07-01 03:33:00,2024-07-01 03:03:00,2024-07-01 03:39:00,2024-07-01 03:40:00
Stuttgart Hbf,ICE 699,München Hbf,0,2024-07-01 05:12:00,False,ICE,-7138074359361066746-2406301919,15,2024-07-01 04:52:00,2024-07-01 04:51:00,2024-07-01 05:12:00,2024-07-01 05:12:00
Stuttgart Hbf,ICE 616,Hamburg-Altona,0,2024-07-01 05:51:00,False,ICE,-8624992757107064587-2407010332,5,2024-07-01 05:45:00,2024-07-01 05:43:00,2024-07-01 05:51:00,2024-07-01 05:51:00
Stuttgart Hbf,ICE 1061,München Hbf,1,2024-07-01 05:53:00,False,ICE,5427594935199921006-2407010453,5,2024-07-01 05:45:00,2024-07-01 05:44:00,2024-07-01 05:52:00,2024-07-01 05:53:00
Stuttgart Hbf,ICE 561,München Hbf,2,2024-07-01 06:52:00,False,ICE,-605877143281749034-2407010600,3,2024-07-01 06:44:00,2024-07-01 06:45:00,2024-07-01 06:50:00,2024-07-01 06:52:00
Stuttgart Hbf,ICE 614,Hamburg-Altona,2,2024-07-01 07:53:00,False,ICE,67517114520381301-2407010532,5,2024-07-01 07:45:00,2024-07-01 07:48:00,2024-07-01 07:51:00,2024-07-01 07:53:00
Stuttgart Hbf,ICE 911,München Hbf,15,2024-07-01 07:43:00,False,ICE,-5135229961965226618-2407010603,2,2024-07-01 07:20:00,2024-07-01 07:35:00,2024-07-01 07:28:00,2024-07-01 07:43:00
Stuttgart Hbf,ICE 1068,Karlsruhe Hbf,0,2024-07-01 07:10:00,False,ICE,1847313071699172804-2407010500,5,2024-07-01 07:04:00,2024-07-01 07:03:00,2024-07-01 07:10:00,2024-07-01 07:10:00
Stuttgart Hbf,ICE 991,München Hbf,3,2024-07-01 07:18:00,False,ICE,4178793572863103484-2407010526,5,2024-07-01 07:07:00,2024-07-01 07:10:00,2024-07-01 07:15:00,2024-07-01 07:18:00
Stuttgart Hbf,ICE 1098,Frankfurt(Main)Hbf,1,2024-07-01 08:06:00,False,ICE,1402637927240724353-2407010544,6,2024-07-01 07:59:00,2024-07-01 08:01:00,2024-07-01 08:05:00,2024-07-01 08:06:00
Stuttgart Hbf,ICE 511,München Hbf,3,2024-07-01 08:17:00,False,ICE,7137833056273713088-2407010045,17,2024-07-01 08:08:00,2024-07-01 08:12:00,2024-07-01 08:14:00,2024-07-01 08:17:00
Stuttgart Hbf,ICE 1012,Dortmund Hbf,4,2024-07-01 08:43:00,False,ICE,-6324333303227400345-2407010626,5,2024-07-01 08:31:00,2024-07-01 08:39:00,2024-07-01 08:39:00,2024-07-01 08:43:00
Stuttgart Hbf,ICE 267,München Hbf,0,2024-07-01 08:51:00,True,ICE,9036257144873715932-2407010550,11,2024-07-01 08:45:00,2024-07-01 08:47:00,2024-07-01 08:51:00,2024-07-01 08:51:00
Stuttgart Hbf,ICE 692,Berlin Hbf,4,2024-07-01 08:55:00,False,ICE,-690776802853422910-2407010641,5,2024-07-01 08:44:00,2024-07-01 08:50:00,2024-07-01 08:51:00,2024-07-01 08:55:00
Stuttgart Hbf,ICE 612,Kiel Hbf,1,2024-07-01 09:52:00,False,ICE,-7184453857839759572-2407010728,5,2024-07-01 09:45:00,2024-07-01 09:46:00,2024-07-01 09:51:00,2024-07-01 09:52:00
Stuttgart Hbf,ICE 913,München Hbf,8,2024-07-01 09:36:00,False,ICE,-6165068286223376269-2407010547,10,2024-07-01 09:22:00,2024-07-01 09:31:00,2024-07-01 09:28:00,2024-07-01 09:36:00
Stuttgart Hbf,ICE 591,München Hbf,17,2024-07-01 09:32:00,False,ICE,-9076044575966614071-2407010302,15,2024-07-01 09:08:00,2024-07-01 09:27:00,2024-07-01 09:15:00,2024-07-01 09:32:00
Stuttgart Hbf,ICE 1010,Dortmund Hbf,5,2024-07-01 10:42:00,False,ICE,-1202781486977583710-2407010828,5,2024-07-01 10:31:00,2024-07-01 10:37:00,2024-07-01 10:37:00,2024-07-01 10:42:00
Stuttgart Hbf,ICE 563,München Hbf,3,2024-07-01 10:54:00,False,ICE,7515891464844108057-2407010827,6,2024-07-01 10:45:00,2024-07-01 10:48:00,2024-07-01 10:51:00,2024-07-01 10:54:00
Stuttgart Hbf,ICE 513,München Hbf,3,2024-07-01 10:17:00,False,ICE,-1316725331766652964-2407010602,10,2024-07-01 10:08:00,2024-07-01 10:11:00,2024-07-01 10:14:00,2024-07-01 10:17:00
Stuttgart Hbf,ICE 690,Berlin Gesundbrunnen,3,2024-07-01 10:54:00,False,ICE,-2543008509222161707-2407010846,5,2024-07-01 10:43:00,2024-07-01 10:45:00,2024-07-01 10:51:00,2024-07-01 10:54:00
Stuttgart Hbf,ICE 915,München Hbf,63,2024-07-01 12:31:00,False,ICE,400157404087783375-2407010751,10,2024-07-01 11:22:00,2024-07-01 12:23:00,2024-07-01 11:28:00,2024-07-01 12:31:00
Stuttgart Hbf,ICE 610,Hamburg-Altona,1,2024-07-01 11:52:00,False,ICE,9011011619156863439-2407010927,5,2024-07-01 11:45:00,2024-07-01 11:46:00,2024-07-01 11:51:00,2024-07-01 11:52:00
Stuttgart Hbf,ICE 1290,Frankfurt(Main)Hbf,2,2024-07-01 12:07:00,False,ICE,-9206844568518319678-2407010800,11,2024-07-01 11:59:00,2024-07-01 12:00:00,2024-07-01 12:05:00,2024-07-01 12:07:00
Stuttgart Hbf,ICE 568,Karlsruhe Hbf,1,2024-07-01 11:13:00,False,ICE,-5628776902806503379-2407010903,5,2024-07-01 11:02:00,2024-07-01 11:03:00,2024-07-01 11:12:00,2024-07-01 11:13:00
Stuttgart Hbf,ICE 593,München Hbf,8,2024-07-01 11:23:00,False,ICE,2269193621654513451-2407010516,11,2024-07-01 11:08:00,2024-07-01 11:18:00,2024-07-01 11:15:00,2024-07-01 11:23:00
Stuttgart Hbf,ICE 115,Klagenfurt Hbf,24,2024-07-01 12:22:00,False,ICE,-1244506323428825924-2407010631,18,2024-07-01 11:53:00,2024-07-01 12:12:00,2024-07-01 11:58:00,2024-07-01 12:22:00
Stuttgart Hbf,ICE 918,Dortmund Hbf,3,2024-07-01 12:41:00,False,ICE,7844358081895785158-2407011030,4,2024-07-01 12:32:00,2024-07-01 12:36:00,2024-07-01 12:38:00,2024-07-01 12:41:00
Stuttgart Hbf,ICE 1218,Berlin Gesundbrunnen,3,2024-07-01 12:54:00,False,ICE,8983673647294408675-2407010840,11,2024-07-01 12:43:00,2024-07-01 12:45:00,2024-07-01 12:51:00,2024-07-01 12:54:00
Stuttgart Hbf,ICE 565,München Hbf,3,2024-07-01 12:54:00,False,ICE,3705893801311502416-2407011205,3,2024-07-01 12:45:00,2024-07-01 12:48:00,2024-07-01 12:51:00,2024-07-01 12:54:00
Stuttgart Hbf,ICE 515,München Hbf,34,2024-07-01 12:48:00,False,ICE,6512354943507599026-2407010529,15,2024-07-01 12:08:00,2024-07-01 12:42:00,2024-07-01 12:14:00,2024-07-01 12:48:00
Stuttgart Hbf,ICE 119,Innsbruck Hbf,20,2024-07-01 13:17:00,False,ICE,-5651847012247675964-2407010753,14,2024-07-01 12:48:00,2024-07-01 13:12:00,2024-07-01 12:57:00,2024-07-01 13:17:00
Stuttgart Hbf,ICE 566,Karlsruhe Hbf,3,2024-07-01 13:12:00,False,ICE,-4243685153474784824-2407011103,5,2024-07-01 13:02:00,2024-07-01 13:04:00,2024-07-01 13:09:00,2024-07-01 13:12:00
Stuttgart Hbf,ICE 595,München Hbf,50,2024-07-01 14:05:00,False,ICE,-2221597426497896240-2407010726,10,2024-07-01 13:08:00,2024-07-01 14:00:00,2024-07-01 13:15:00,2024-07-01 14:05:00
Stuttgart Hbf,ICE 917,München Hbf,10,2024-07-01 13:38:00,False,ICE,-1038875971032103661-2407011045,6,2024-07-01 13:20:00,2024-07-01 13:33:00,2024-07-01 13:28:00,2024-07-01 13:38:00
Stuttgart Hbf,ICE 518,Hamburg-Altona,2,2024-07-01 13:53:00,False,ICE,-6452407069337976676-2407011128,5,2024-07-01 13:45:00,2024-07-01 13:49:00,2024-07-01 13:51:00,2024-07-01 13:53:00
Stuttgart Hbf,ICE 567,München Hbf,12,2024-07-01 15:03:00,False,ICE,3762301582140299933-2407011405,3,2024-07-01 14:45:00,2024-07-01 14:51:00,2024-07-01 14:51:00,2024-07-01 15:03:00
Stuttgart Hbf,ICE 118,Münster(Westf)Hbf,0,2024-07-01 15:12:00,False,ICE,-2026324236731915142-2407010854,20,2024-07-01 14:59:00,2024-07-01 15:03:00,2024-07-01 15:12:00,2024-07-01 15:12:00
Stuttgart Hbf,ICE 596,Berlin Gesundbrunnen,4,2024-07-01 14:55:00,False,ICE,4083739950560377043-2407011246,5,2024-07-01 14:43:00,2024-07-01 14:49:00,2024-07-01 14:51:00,2024-07-01 14:55:00
Stuttgart Hbf,ICE 517,München Hbf,33,2024-07-01 14:47:00,False,ICE,-4602427783665327588-2407010728,14,2024-07-01 14:08:00,2024-07-01 14:42:00,2024-07-01 14:14:00,2024-07-01 14:47:00
Stuttgart Hbf,ICE 564,Karlsruhe Hbf,7,2024-07-01 15:16:00,False,ICE,-1073960129091467682-2407011303,5,2024-07-01 15:02:00,2024-07-01 15:05:00,2024-07-01 15:09:00,2024-07-01 15:16:00
Stuttgart Hbf,ICE 114,Dortmund Hbf,112,2024-07-01 17:59:00,False,ICE,-940035628142522529-2407010842,23,2024-07-01 15:59:00,2024-07-01 17:49:00,2024-07-01 16:07:00,2024-07-01 17:59:00
Stuttgart Hbf,ICE 516,Hamburg-Altona,0,2024-07-01 15:51:00,False,ICE,6954924236955692259-2407011328,5,2024-07-01 15:45:00,2024-07-01 15:44:00,2024-07-01 15:51:00,2024-07-01 15:51:00
Stuttgart Hbf,ICE 117,Klagenfurt Hbf,2,2024-07-01 16:01:00,False,ICE,9042395260942796037-2407011420,6,2024-07-01 15:53:00,2024-07-01 15:54:00,2024-07-01 15:59:00,2024-07-01 16:01:00
Stuttgart Hbf,ICE 597,München Hbf,37,2024-07-01 15:52:00,False,ICE,5254114651454294172-2407010915,11,2024-07-01 15:08:00,2024-07-01 15:47:00,2024-07-01 15:15:00,2024-07-01 15:52:00
Stuttgart Hbf,ICE 519,München Hbf,114,2024-07-01 18:08:00,True,ICE,-8471873024121272354-2407010929,16,2024-07-01 16:08:00,2024-07-01 18:03:00,2024-07-01 16:14:00,2024-07-01 18:08:00
Stuttgart Hbf,ICE 569,München Hbf,2,2024-07-01 16:53:00,False,ICE,-7759827436146803415-2407011605,3,2024-07-01 16:45:00,2024-07-01 16:46:00,2024-07-01 16:51:00,2024-07-01 16:53:00
